In_Type,Com_Tr_Num,Date_Com,Date_Com_Re,Date_Complete,Com_Class,In_Status,Disp,B_Com,Div_Com,Un_Com,Detail,WorkSta,ShiftCom,Rule,Par,UnOff_ID,Off_R_Eth,Off_Gen,Off_Age,Off_Year,Com_Gen,Com_Eth,Com_Age
Rank Initiated,2016-0246-R,2016/4/4,2016/4/18,2016/11/29,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Reserve Division,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71127,Not Specified,U,79,U,U,U,U
Public Initiated,2019-0109-P,2019/2/10,2019/2/20,2019/3/25,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,1st District,3rd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71130,Asian/Pacific Islander,M,25,U,F,B,25
Rank Initiated,2018-0665-P,2018/11/23,2018/11/26,2022/5/3,DI-1,Completed,Resigned under investigation,MSB - Management Service Bureau,Records & Identification / Support Services Divisi,Records & I.D.,NCIC Platoon A,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,71131,Black,F,25,U,F,B,25
Public Initiated,2022-0336-P,2022/5/6,2022/8/8,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Communications,FOB,APR,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71132,Black,M,27,U,F,W,25
Public Initiated,2017-0705-P,2017/12/14,2017/12/18,2018/1/12,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,6th District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71132,White,M,25,U,F,W,25
Public Initiated,2018-0556-P,2018/10/7,2018/10/9,2019/7/24,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71145,White,M,27,U,F,B,25
Public Initiated,2017-0705-P,2017/12/14,2017/12/18,2018/1/12,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,6th District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71172,Black,M,27,U,F,W,25
Public Initiated,2023-0048-P,2023/1/31,2023/1/31,2023/4/17,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,Night Watch,Patrol,Off Duty,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,71175,Black,M,28,U,F,B,25
Public Initiated,2016-0480-P,2016/7/4,2016/7/18,2017/4/17,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Staff,Recruitment Division,U,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,71175,White,F,27,U,F,H,25
Public Initiated,2017-0500-P,2017/9/1,2017/9/7,2017/11/2,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71181,White,M,28,U,F,B,25
Public Initiated,2017-0139-P,2017/2/26,2017/3/6,2018/7/24,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Narcotics,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71183,White,M,28,U,M,B,25
Public Initiated,2017-0112-P,2017/2/22,2017/2/27,2017/6/28,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,A Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71186,White,M,29,U,F,W,25
Public Initiated,2016-0253-P,U,2016/4/7,2016/7/31,Duplicate,Completed,Other,U,U,U,U,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,71198,Not Specified,U,U,U,M,B,U
Public Initiated,2016-0410-P,2016/4/21,2016/6/10,2016/12/9,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Communications Division,Communications,Complaint Operator,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71200,Black,F,29,U,F,B,25
Public Initiated,2022-0353-P,2022/8/1,2022/8/12,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,71201,White,M,30,U,M,B,25
Public Initiated,2018-0689-P,2018/11/30,2018/12/3,2020/7/27,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71203,Black,M,31,U,M,B,25
Public Initiated,2016-0196-P,2016/3/11,2016/3/17,2016/9/7,DI-1,Completed,Unfounded,U,Communications Division,U,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71205,Not Specified,U,U,U,F,B,68
Public Initiated,2019-0730-P,2019/12/13,2019/12/17,2020/4/22,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Narcotics,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,71207,White,M,32,U,M,B,25
Public Initiated,2016-0847-P,2016/11/15,2017/1/5,2019/3/28,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,U,RUI 2012-0947-C,Unknown Shift Hours,U,U,71208,Black,M,32,U,M,B,25
Public Initiated,2022-0134-P,2022/3/18,2022/3/25,2022/6/10,Mediation,Completed,Other,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,71210,Black,M,34,U,M,B,25
Public Initiated,2018-0730-P,2018/12/22,2018/12/28,2019/5/3,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71211,Black,F,34,U,F,B,25
Public Initiated,2016-0233-N,2016/4/1,2016/4/4,2016/8/26,NFIM,Completed,NFIM,U,U,U,U,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,71213,Not Specified,U,U,U,F,B,48
Public Initiated,2017-0065-P,2017/1/31,2017/2/1,2017/6/15,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71213,White,M,34,U,F,B,25
Public Initiated,2016-0100-P,2016/2/10,2016/2/10,2016/9/30,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Alternative Police Response,Alternative Police Response,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71215,Black,M,36,U,M,B,25
Public Initiated,2018-0292-P ,2018/5/17,2018/5/21,2019/3/15,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Day Watch,U,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71215,Black,M,35,U,F,B,25
Public Initiated,2020-0104-P,2020/2/25,2020/2/28,2020/7/1,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,Narcotics,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,71217,Black,M,37,U,M,B,25
Public Initiated,2020-0447-P,2020/9/3,2020/9/3,2021/1/11,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71219,Black,M,37,U,M,A,25
Public Initiated,2016-0461-P,2016/6/26,2016/7/5,2017/4/12,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Admin Unit,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71220,Black,M,37,U,F,B,25
Public Initiated,2016-0120-P,2016/2/13,2016/2/23,2016/7/31,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71224,White,M,38,U,F,B,25
Public Initiated,2023-0194-P,2023/4/17,2023/4/19,2023/6/9,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71226,Black,M,39,U,F,B,25
Public Initiated,2017-0686-P,2017/12/1,2017/12/2,2018/10/30,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,Narcotics,U,Regular Working,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,71228,White,M,39,U,M,B,25
Public Initiated,2016-0120-P,2016/2/13,2016/2/23,2016/7/31,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71230,White,M,39,U,F,B,25
Public Initiated,2023-0314-P,2023/6/8,2023/6/15,U,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71232,Asian/Pacific Islander,M,40,U,M,B,25
Public Initiated,2016-0126-P,2015/12/17,2016/2/22,2017/6/9,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,U,Administration,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,71235,White,M,40,U,F,B,25
Public Initiated,2020-0019-P,2020/1/12,2020/1/13,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Night Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71237,Hispanic,F,41,U,F,W,25
Public Initiated,2016-0203-P,2016/3/17,2016/3/28,2017/3/20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Staff,U,Unknown Working Status,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,71242,Black,M,43,U,F,H,25
Public Initiated,2017-0475-P,2017/8/28,2017/8/28,2019/9/23,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71245,White,M,44,U,M,W,25
Public Initiated,2016-0402-P,2016/6/8,2016/6/9,2017/1/9,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,3rd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71249,Black,M,44,U,F,B,25
Public Initiated,2018-0068-P,2018/1/28,2018/1/31,2018/6/6,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,71255,White,M,45,U,F,B,25
Public Initiated,2016-0237-N,2016/4/3,2016/4/5,2016/8/26,NFIM,Completed,NFIM,Not - NOPD Officer,Not Nopd,U,Not - NOPD Officer,n/a,Unknown Shift Hours,NO VIOLATION OBSERVED,U,71267,Not Specified,U,U,U,F,W,54
Public Initiated,2017-0112-P,2017/2/22,2017/2/27,2017/6/28,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,A Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71275,Black,M,45,U,F,W,25
Public Initiated,2019-0383-P,2019/6/27,2019/6/27,2019/11/6,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,2nd District,C Platoon,U,DUI 2009-0665-R,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71303,Black,M,46,U,F,B,25
Public Initiated,2021-0463-P,2021/8/10,2021/8/17,2021/12/21,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,6th District,D.I.U.,Persons,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71303,White,F,46,U,F,B,25
Public Initiated,2016-0480-P,2016/7/4,2016/7/18,2017/4/17,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Staff,Recruitment Division,U,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,71313,White,M,47,U,F,H,25
Rank Initiated,2016-0236-R,U,2016/4/5,2016/8/4,DI-1,Completed,Unfounded,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Admin,,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,71317,Not Specified,U,U,U,U,U,U
Public Initiated,2017-0065-P,2017/1/31,2017/2/1,2017/6/15,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,71318,White,M,48,U,F,B,25
Public Initiated,2016-0001-P,2016/1/1,2016/1/1,2016/7/21,DI-1,Completed,Unfounded,U,8th District,U,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,Not Specified,U,U,U,M,B,U
Public Initiated,2021-0202-P,2021/3/26,2021/4/7,2021/8/5,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,U,White,M,39,U,F,B,46
Public Initiated,2019-0599-P,2019/10/7,2019/10/8,2020/2/18,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,A Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,Black,M,60,U,F,B,U
Public Initiated,2022-0273-P,2022/6/15,2022/6/27,2022/10/28,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,U,Black,M,50,U,M,B,U
Public Initiated,2021-0714-P,2021/12/8,2021/12/20,2022/2/14,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,Black,M,48,U,F,B,U
Public Initiated,2016-0664-P,2016/10/15,2016/10/17,2017/5/2,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,U,Black,M,44,U,F,B,U
Public Initiated,2016-0010-N,2016/1/4,2016/1/5,2016/2/25,NFIM,Completed,NFIM,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,Not Specified,U,U,U,M,W,42
Public Initiated,2019-0621-P,2019/10/15,2019/10/16,2020/2/26,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,DWI Unit,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,White,M,43,U,F,B,U
Public Initiated,2019-0599-P,2019/10/7,2019/10/8,2020/2/18,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,A Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,Black,M,41,U,F,B,U
Public Initiated,2023-0375-P,2023/7/11,2023/7/11,U,U,Active,Pending,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,U,U,U,White,M,41,U,M,U,U
Public Initiated,2016-0664-P,2016/10/15,2016/10/17,2017/5/2,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,U,White,M,39,U,F,B,U
Public Initiated,2016-0664-P,2016/10/15,2016/10/17,2017/5/2,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,U,White,M,36,U,F,B,U
Public Initiated,2016-0788-P,2016/11/12,2016/12/7,2017/5/20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,U,Black,M,33,U,M,W,U
Public Initiated,2017-0428-P,2017/8/3,2017/8/22,2018/12/21,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,3rd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,U,White,M,33,U,F,B,U
Public Initiated,2016-0014-N,2015/6/19,2016/1/14,2016/2/25,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,U,Unknown Working Status,Between 3pm-11pm,NO VIOLATION OBSERVED,U,U,Not Specified,U,U,U,M,W,58
Public Initiated,2016-0788-P,2016/11/12,2016/12/7,2017/5/20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,U,Black,M,32,U,M,W,U
Public Initiated,2021-0459-P,2021/7/7,2021/8/18,2021/12/21,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,U,Black,M,31,U,F,B,U
Public Initiated,2019-0472-P,2019/8/14,2019/8/15,2020/2/11,DI-1,Completed,Exonerated,MSB - Management Services Bureau,Records & Identification / Support Services Divisi,U,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,Black,F,26,U,M,B,U
Public Initiated,2016-0015-N,U,2016/1/11,2016/2/25,DI-1,Completed,NFIM,U,U,U,U,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,U,Not Specified,U,U,U,M,W,U
Public Initiated,2021-0438-P,2021/6/30,2021/8/4,2021/12/1,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,U,Black,M,47,U,M,B,2
Public Initiated,2021-0438-P,2021/6/30,2021/8/4,2021/12/1,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,U,White,M,43,U,M,B,2
Public Initiated,2021-0426-P,2021/6/30,2021/8/3,2021/9/14,DI-1,Completed,Unfounded,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,U,Black,M,35,U,F,B,2
Public Initiated,2022-0213-P,2022/5/5,2022/5/19,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,U,Not Specified,M,31,U,M,B,9
Public Initiated,2022-0213-P,2022/5/5,2022/5/19,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,U,Asian/Pacific Islander,M,31,U,M,B,9
Public Initiated,2021-0488-P,2021/4/5,2021/9/16,2021/11/1,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,U,White,M,32,U,F,B,10
Public Initiated,2021-0488-P,2021/4/5,2021/9/16,2021/11/1,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,U,Hispanic,M,28,U,F,B,10
Public Initiated,2016-0029-P,2016/1/18,2016/1/18,2016/11/18,DI-1,Completed,Not Sustained,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,U,Not Specified,U,U,U,U,U,U
Rank Initiated,2017-0185-P,2017/3/28,2017/3/28,2017/5/17,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,8th District,Bourbon Promenade,U,Paid Detail,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,U,Black,M,60,U,M,B,14
Public Initiated,2021-0713-P,2021/12/8,2021/12/8,2022/4/12,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,6th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,U,Black,M,45,U,F,B,15
Public Initiated,2022-0260-P,2022/6/6,2022/6/7,U,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,U,Patrol,Regular Working,Between 12pm-12am,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,U,White,M,30,U,F,B,15
Public Initiated,2023-0181-P,2023/4/2,2023/4/10,U,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,U,Black,M,31,U,M,B,16
Public Initiated,2023-0061-P,2023/1/15,2023/2/3,2023/5/10,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,SOD,Other Support,K-9 Section,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,U,White,M,30,U,M,B,16
Public Initiated,2023-0181-P,2023/4/2,2023/4/10,U,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,U,Black,M,25,U,M,B,16
Public Initiated,2023-0181-P,2023/4/2,2023/4/10,U,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,U,Black,M,24,U,M,B,16
Public Initiated,2020-0242-P,2014/5/14,2020/6/1,2020/10/13,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,Workmans Compensation,Squad E,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,White,M,47,U,F,B,17
Public Initiated,2023-0213-P,2023/4/21,2023/4/24,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,U,White,M,46,U,F,B,17
Public Initiated,2023-0213-P,2023/4/21,2023/4/24,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,U,Black,F,38,U,F,B,17
Public Initiated,2020-0242-P,2014/5/14,2020/6/1,2020/10/13,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,Workmans Compensation,Squad E,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,White,F,36,U,F,B,17
Public Initiated,2021-0492-P,2021/8/25,2021/8/26,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,SOD,Other Support,Other Mounted,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,U,Black,M,36,U,M,W,17
Public Initiated,2023-0081-P,2023/2/18,2023/2/27,2023/5/5,DI-1,Completed,Unfounded,ISB - Investigative Services Bureau,CID,Homicide,Squad D,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,U,Hispanic,M,35,U,F,B,17
Public Initiated,2023-0213-P,2023/4/21,2023/4/24,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,U,Hispanic,M,33,U,F,B,17
Public Initiated,2021-0492-P,2021/8/25,2021/8/26,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,SOD,Other Support,Other Mounted,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,U,Black,M,32,U,M,W,17
Public Initiated,2021-0346-P,2021/6/7,2021/6/17,2021/9/24,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,U,White,F,26,U,M,B,17
Public Initiated,2021-0599-P,2021/10/27,2021/11/27,2021/12/6,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,5th District,Investigations,Staff,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,U,Black,F,46,U,U,U,18
Rank Initiated,2021-0700-R,2021/11/17,2021/12/5,2022/4/7,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Administrative Duties Services,Reassignment/LTD,Reassignment/LTD,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,U,Black,M,46,U,M,B,18
